Date,Time,Currency,Event,Previous,Forecast,Actual
"Dec 01, 2022",13:30,USD,PCE Price Index MoM,0.3%,,0.3%
,13:30,USD,PCE Price Index YoY,6.3%,,6%
,13:30,USD,Initial Jobless Claims,241K,235K,225K
,13:30,USD,Personal Income MoM,0.4%,0.4%,0.7%
,13:30,USD,Personal Spending MoM,0.6%,0.8%,0.8%
,14:25,USD,Fed Logan Speech,,,
,14:30,USD,Fed Bowman Speech,,,
,14:45,USD,S&P Global Manufacturing PMI Final,50.4,47.6,47.7
,15:00,USD,ISM Manufacturing PMI,50.2,49.8,49
,15:00,USD,ISM Manufacturing Employment,50,,48.4
,20:00,USD,Fed S. Barr Speech,,,
"Dec 02, 2022",13:30,USD,Participation Rate,62.2%,,62.1%
,13:30,USD,Average Hourly Earnings YoY,4.9%,4.6%,5.1%
,13:30,USD,Average Hourly Earnings MoM,0.5%,0.3%,0.6%
,13:30,USD,Unemployment Rate,3.7%,3.7%,3.7%
,13:30,USD,Non Farm Payrolls,284K,200K,263K
,15:15,USD,Fed Evans Speech,,,
"Dec 05, 2022",14:45,USD,S&P Global Composite PMI Final,48.2,46.3,46.4
,14:45,USD,S&P Global Services PMI Final,47.8,46.1,46.2
,14:45,USD,S&P Global Composite Final,,,
,15:00,USD,ISM Non-Manufacturing Employment,49.1,,51.5
,15:00,USD,ISM Non-Manufacturing PMI,54.4,53.3,56.5
,15:00,USD,Factory Orders MoM,0.3%,0.7%,1%
"Dec 06, 2022",13:30,USD,Balance of Trade,$-74.1B,$-80B,$-78.2B
,13:30,USD,Imports,$332.6B,,$334.8B
,13:30,USD,Exports,$258.5B,,$256.6B
,21:30,USD,API Crude Oil Stock Change,-7.85M,-3.884M,-6.426M
"Dec 07, 2022",13:30,USD,Unit Labour Costs QoQ Final,8.9%,3.1%,2.4%
,13:30,USD,Nonfarm Productivity QoQ Final,-4.1%,0.6%,0.8%
,15:30,USD,EIA Crude Oil Stocks Change,-12.58M,-3.305M,-5.187M
,15:30,USD,EIA Gasoline Stocks Change,2.769M,2.707M,5.32M
"Dec 08, 2022",13:30,USD,Initial Jobless Claims,226K,230K,230K
"Dec 09, 2022",13:30,USD,Core PPI MoM,0.1%,0.2%,0.4%
,13:30,USD,PPI MoM,0.3%,0.2%,0.3%
,15:00,USD,Michigan Consumer Sentiment Prel,56.8,56.9,59.1
,15:00,USD,Wholesale Inventories MoM,0.6%,0.8%,0.5%
,17:00,USD,Fed Quarterly Financial Accounts,,,
"Dec 12, 2022",19:00,USD,Monthly Budget Statement,$-88B,$-248B,$-249B
"Dec 13, 2022",13:30,USD,Inflation Rate YoY,7.7%,7.3%,7.1%
,13:30,USD,Core Inflation Rate MoM,0.3%,0.3%,0.2%
,13:30,USD,Core Inflation Rate YoY,6.3%,6.1%,6%
,13:30,USD,CPI,298.012,298.045,297.711
,13:30,USD,Inflation Rate MoM,0.4%,0.3%,0.1%
,15:00,USD,IBD/TIPP Economic Optimism,40.4,41.3,42.9
,21:30,USD,API Crude Oil Stock Change,-6.426M,-3.913M,7.819M
"Dec 14, 2022",12:00,USD,MBA 30-Year Mortgage Rate,6.41%,,6.42%
,13:30,USD,Export Prices MoM,-0.4%,-0.4%,-0.3%
,13:30,USD,Import Prices MoM,-0.4%,-0.5%,-0.6%
,15:30,USD,EIA Gasoline Stocks Change,5.32M,2.714M,4.496M
,15:30,USD,EIA Crude Oil Stocks Change,-5.187M,-3.595M,10.231M
,19:00,USD,Interest Rate Projection - 3rd Yr,2.9%,,3.1%
,19:00,USD,Interest Rate Projection - Longer,2.5%,,2.5%
,19:00,USD,Fed Interest Rate Decision,4%,4.5%,4.5%
,19:00,USD,Interest Rate Projection - 1st Yr,4.6%,,5.1%
,19:00,USD,Interest Rate Projection - 2nd Yr,3.9%,,4.1%
,19:00,USD,FOMC Economic Projections,,,
,19:00,USD,Interest Rate Projection - Current,4.4%,,4.4%
,19:30,USD,Fed Press Conference,,,
"Dec 15, 2022",13:30,USD,NY Empire State Manufacturing Index,4.5,-1,-11.2
,13:30,USD,Retail Sales MoM,1.3%,-0.1%,-0.6%
,13:30,USD,Retail Sales Ex Autos MoM,1.2%,0.2%,-0.2%
,13:30,USD,Philadelphia Fed Manufacturing Index,-19.4,-10,-13.8
,13:30,USD,Initial Jobless Claims,231K,230K,211K
,14:15,USD,Industrial Production MoM,-0.1%,0.1%,-0.2%
,14:15,USD,Industrial Production YoY,3.3%,,2.5%
,15:00,USD,Business Inventories MoM,0.2%,0.4%,0.3%
,21:00,USD,Net Long-term TIC Flows,$117.7B,,$67.8B
"Dec 16, 2022",14:45,USD,S&P Global Manufacturing PMI Flash,47.7,47.7,46.2
,14:45,USD,S&P Global Services PMI Flash,46.2,46.8,44.4
,14:45,USD,S&P Global Composite PMI Flash,46.4,,44.6
"Dec 19, 2022",15:00,USD,NAHB Housing Market Index,33,34,31
"Dec 20, 2022",13:30,USD,Building Permits MoM,,,
,13:30,USD,Housing Starts,1.434M,1.4M,1.427M
,13:30,USD,Building Permits,,,
,13:30,USD,Building Permits MoM Prel,-3.3%,,-11.2%
,13:30,USD,Building Permits Prel,1.512M,1.485M,1.342M
,13:30,USD,Housing Starts MoM,-2.1%,,-0.5%
,21:30,USD,API Crude Oil Stock Change,7.819M,-0.167M,-3.069M
"Dec 21, 2022",12:00,USD,MBA 30-Year Mortgage Rate,6.42%,,6.34%
,13:30,USD,Current Account,$-238.7B,$-222B,$-217.1B
,15:00,USD,Existing Home Sales,4.43M,4.2M,4.09M
,15:00,USD,Existing Home Sales MoM,-5.9%,-5.4%,-7.7%
,15:00,USD,CB Consumer Confidence,101.4,101,108.3
,15:30,USD,EIA Gasoline Stocks Change,4.496M,2.14M,2.53M
,15:30,USD,EIA Crude Oil Stocks Change,10.231M,-1.657M,-5.894M
"Dec 22, 2022",13:30,USD,Initial Jobless Claims,214K,222K,216K
,13:30,USD,GDP Growth Rate QoQ Final,-0.6%,2.9%,3.2%
,13:30,USD,GDP Price Index QoQ Final,9%,4.3%,4.4%
"Dec 23, 2022",13:25,USD,Building Permits Final,1.512M,,1.351M
,13:30,USD,Durable Goods Orders Ex Transp MoM,0.1%,0%,0.2%
,13:30,USD,PCE Price Index MoM,0.4%,,0.1%
,13:30,USD,PCE Price Index YoY,6.1%,,5.5%
,13:30,USD,Durable Goods Orders MoM,0.7%,-0.6%,-2.1%
,13:30,USD,Personal Spending MoM,0.9%,0.2%,0.1%
,13:30,USD,Personal Income MoM,0.7%,0.3%,0.4%
,15:00,USD,New Home Sales MoM,8.2%,-4.7%,5.8%
,15:00,USD,Michigan Consumer Sentiment Final,56.8,59.1,59.7
,15:00,USD,New Home Sales,0.605M,0.6M,0.64M
"Dec 27, 2022",13:30,USD,Retail Inventories Ex Autos MoM Adv,-0.7%,,-0.3%
,13:30,USD,Goods Trade Balance Adv,$-98.8B,,$-83.35B
,13:30,USD,Wholesale Inventories MoM Adv,0.6%,,1%
,14:00,USD,S&P/Case-Shiller Home Price MoM,-1.5%,,-0.8%
,14:00,USD,S&P/Case-Shiller Home Price YoY,10.4%,8.2%,8.6%
,15:30,USD,Dallas Fed Manufacturing Index,-14.4,,-18.8
"Dec 28, 2022",15:00,USD,Pending Home Sales MoM,-4.6%,-0.8%,-4%
,15:00,USD,Pending Home Sales YoY,-37.1%,,-37.8%
,21:30,USD,API Crude Oil Stock Change,-3.069M,,-1.3M
"Dec 29, 2022",13:30,USD,Initial Jobless Claims,216K,225K,225K
,16:00,USD,EIA Crude Oil Stocks Change,-5.894M,-1.52M,0.718M
,16:00,USD,EIA Gasoline Stocks Change,2.53M,0.52M,-3.105M
"Dec 30, 2022",14:45,USD,Chicago PMI,37.2,40,44.9
"Jan 03, 2023",14:45,USD,S&P Global Manufacturing PMI Final,47.7,,46.2
"Jan 04, 2023",12:00,USD,MBA 30-Year Mortgage Rate,6.34%,,6.58%
,12:00,USD,MBA 30-Year Mortgage Rate,6.34%,,
,15:00,USD,ISM Manufacturing Employment,48.4,48.3,51.4
,15:00,USD,ISM Manufacturing PMI,49,48.5,48.4
,15:00,USD,JOLTs Job Openings,10.512M,10M,10.458M
,19:00,USD,FOMC Minutes,,,
,21:30,USD,API Crude Oil Stock Change,-1.3M,,3.298M
"Jan 05, 2023",13:15,USD,ADP Employment Change,182K,150K,235K
,13:30,USD,Exports,$256.9B,,$251.9B
,13:30,USD,Balance of Trade,$-77.8B,$-73B,$-61.5B
,13:30,USD,Initial Jobless Claims,223K,225K,204K
,13:30,USD,Imports,$334.8B,,$313.4B
,14:20,USD,Fed Bostic Speech,,,
,14:45,USD,S&P Global Composite PMI Final,46.4,44.6,45
,14:45,USD,S&P Global Services PMI Final,46.2,44.4,44.7
,16:00,USD,EIA Crude Oil Stocks Change,0.718M,1.154M,1.694M
,16:00,USD,EIA Gasoline Stocks Change,-3.105M,-0.486M,-0.346M
,18:20,USD,Fed Bullard Speech,,,
"Jan 06, 2023",13:30,USD,Average Hourly Earnings YoY,0.6%,,
,13:30,USD,Non Farm Payrolls,256K,200K,223K
,13:30,USD,Average Hourly Earnings YoY,4.8%,5%,4.6%
,13:30,USD,Average Hourly Earnings MoM,0.4%,0.4%,0.3%
,13:30,USD,Unemployment Rate,3.6%,3.7%,3.5%
,13:30,USD,Participation Rate,62.2%,,62.3%
,15:00,USD,ISM Non-Manufacturing PMI,56.5,55,49.6
,15:00,USD,ISM Non-Manufacturing Employment,51.5,,49.8
,15:00,USD,Factory Orders MoM,0.4%,-0.8%,-1.8%
,16:15,USD,Fed Bostic Speech,,,
,16:15,USD,Fed Cook Speech,,,
,17:15,USD,Fed Barkin Speech,,,
,20:30,USD,Fed Bostic Speech,,,
"Jan 09, 2023",17:30,USD,Fed Bostic Speech,,,
"Jan 10, 2023",14:00,USD,Fed Chair Powell Speech,,,
,15:00,USD,IBD/TIPP Economic Optimism,42.9,,42.3
,21:30,USD,API Crude Oil Stock Change,3.298M,-2.375M,14.865M
"Jan 11, 2023",12:00,USD,MBA 30-Year Mortgage Rate,6.58%,,6.42%
,15:30,USD,EIA Crude Oil Stocks Change,1.694M,-2.243M,18.962M
,15:30,USD,EIA Gasoline Stocks Change,-0.346M,1.186M,4.114M
"Jan 12, 2023",13:30,USD,Inflation Rate YoY,7.1%,6.5%,6.5%
,13:30,USD,CPI,297.711,296.701,296.797
,13:30,USD,Initial Jobless Claims,206K,215K,205K
,13:30,USD,Core Inflation Rate YoY,6%,5.7%,5.7%
,13:30,USD,Core Inflation Rate MoM,0.2%,0.3%,0.3%
,13:30,USD,Inflation Rate MoM,0.1%,0%,-0.1%
,19:00,USD,Monthly Budget Statement,$-249B,$-70B,$-85B
"Jan 13, 2023",12:30,USD,Fed Harker Speech,,,
,13:30,USD,Export Prices MoM,-0.4%,-0.5%,-2.6%
,13:30,USD,Import Prices MoM,-0.7%,-0.9%,0.4%
,15:00,USD,Michigan Consumer Sentiment Prel,59.7,60.5,64.6
"Jan 17, 2023",13:30,USD,NY Empire State Manufacturing Index,-11.2,-9,-32.9
,20:00,USD,Fed Williams Speech,,,
"Jan 18, 2023",12:00,USD,MBA 30-Year Mortgage Rate,6.42%,,6.23%
,13:30,USD,Retail Sales MoM,-1%,-0.8%,-1.1%
,13:30,USD,PPI MoM,0.2%,-0.1%,-0.5%
,13:30,USD,Core PPI MoM,0.2%,0.1%,0.1%
,13:30,USD,Retail Sales Ex Autos MoM,-0.6%,-0.4%,-1.1%
,14:00,USD,Fed Bostic Speech,,,
,14:15,USD,Industrial Production YoY,2.2%,,1.6%
,14:15,USD,Industrial Production MoM,-0.6%,-0.1%,-0.7%
,14:30,USD,Fed Bullard Speech,,,
,15:00,USD,NAHB Housing Market Index,31,31,35
,15:00,USD,Business Inventories MoM,0.2%,0.4%,0.4%
,19:00,USD,Fed Harker Speech,,,
,19:00,USD,Fed Beige Book,,,
,21:00,USD,Net Long-term TIC Flows,$67.8B,,$171.5B
,21:30,USD,API Crude Oil Stock Change,14.865M,-1.750M,7.615M
,22:00,USD,Fed Logan Speech,,,
"Jan 19, 2023",13:30,USD,Building Permits,,,
,13:30,USD,Building Permits MoM Prel,-10.6%,,-1.6%
,13:30,USD,Initial Jobless Claims,205K,214K,190K
,13:30,USD,Building Permits MoM,,,
,13:30,USD,Housing Starts MoM,-1.8%,,-1.4%
,13:30,USD,Philadelphia Fed Manufacturing Index,-13.7,-11,-8.9
,13:30,USD,Building Permits Prel,1.351M,1.37M,1.33M
,13:30,USD,Housing Starts,1.401M,1.359M,1.382M
,14:00,USD,Fed Collins Speech,,,
,16:00,USD,EIA Gasoline Stocks Change,4.114M,2.529M,3.483M
,16:00,USD,EIA Crude Oil Stocks Change,18.962M,-0.593M,8.408M
,18:15,USD,Fed Brainard Speech,,,
,23:35,USD,Fed Williams Speech,,,
"Jan 20, 2023",14:00,USD,Fed Harker Speech,,,
,15:00,USD,Existing Home Sales MoM,-7.9%,,-1.5%
,15:00,USD,Existing Home Sales,4.08M,3.96M,4.02M
,18:00,USD,Fed Waller Speech,,,
